,Player,Overs,Maidens,Runs,Wickets,Econ,Dots,4s,6s,Wd,Nb,Fantasy_Points,Teams,Opponent_Team,Match_Location,Toss_Winner,Choose_to
7157,Trent Boult,4.0,1,30,2,7.5,13,6,0,0,0,62,Mumbai Indians,Kolkata Knight Riders,"Sheikh Zayed Stadium, Abu Dhabi",Kolkata Knight Riders,field
7158,James Pattinson,4.0,0,25,2,6.25,13,1,2,1,0,50,Mumbai Indians,Kolkata Knight Riders,"Sheikh Zayed Stadium, Abu Dhabi",Kolkata Knight Riders,field
7159,Jasprit Bumrah,4.0,0,32,2,8.0,14,0,4,1,0,50,Mumbai Indians,Kolkata Knight Riders,"Sheikh Zayed Stadium, Abu Dhabi",Kolkata Knight Riders,field
7160,Rahul Chahar,4.0,0,26,2,6.5,11,2,1,0,0,50,Mumbai Indians,Kolkata Knight Riders,"Sheikh Zayed Stadium, Abu Dhabi",Kolkata Knight Riders,field
7161,Kieron Pollard,3.0,0,21,1,7.0,4,2,0,1,0,25,Mumbai Indians,Kolkata Knight Riders,"Sheikh Zayed Stadium, Abu Dhabi",Kolkata Knight Riders,field
7162,Krunal Pandya,1.0,0,10,0,10.0,2,2,0,0,0,0,Mumbai Indians,Kolkata Knight Riders,"Sheikh Zayed Stadium, Abu Dhabi",Kolkata Knight Riders,field
7163,Tushar Deshpande,4.0,0,39,1,9.75,9,3,2,2,0,25,Delhi Capitals,Chennai Super Kings,Sharjah Cricket Stadium,Chennai Super Kings,bat
7164,Kagiso Rabada,4.0,1,33,1,8.25,12,3,2,1,1,37,Delhi Capitals,Chennai Super Kings,Sharjah Cricket Stadium,Chennai Super Kings,bat
7165,Axar Patel,4.0,0,23,0,5.75,5,1,0,0,0,0,Delhi Capitals,Chennai Super Kings,Sharjah Cricket Stadium,Chennai Super Kings,bat
7166,Anrich Nortje,4.0,0,44,2,11.0,10,3,4,0,0,50,Delhi Capitals,Chennai Super Kings,Sharjah Cricket Stadium,Chennai Super Kings,bat
7167,Ravichandran Ashwin,3.0,0,30,0,10.0,5,3,1,0,0,0,Delhi Capitals,Chennai Super Kings,Sharjah Cricket Stadium,Chennai Super Kings,bat
7168,Marcus Stoinis,1.0,0,10,0,10.0,1,0,1,0,0,0,Delhi Capitals,Chennai Super Kings,Sharjah Cricket Stadium,Chennai Super Kings,bat
7169,Deepak Chahar,4.0,1,18,2,4.5,10,1,0,0,0,68,Chennai Super Kings,Delhi Capitals,Sharjah Cricket Stadium,Chennai Super Kings,bat
7170,Sam Curran,4.0,0,35,1,8.75,10,5,1,1,0,25,Chennai Super Kings,Delhi Capitals,Sharjah Cricket Stadium,Chennai Super Kings,bat
7171,Shardul Thakur,4.0,0,39,1,9.75,5,3,2,0,0,25,Chennai Super Kings,Delhi Capitals,Sharjah Cricket Stadium,Chennai Super Kings,bat
7172,Ravindra Jadeja,1.5,0,35,0,19.09,0,2,3,1,0,0,Chennai Super Kings,Delhi Capitals,Sharjah Cricket Stadium,Chennai Super Kings,bat
7173,Karn Sharma,3.0,0,34,0,11.33,3,4,1,0,0,0,Chennai Super Kings,Delhi Capitals,Sharjah Cricket Stadium,Chennai Super Kings,bat
7174,Dwayne Bravo,3.0,0,23,1,7.67,4,2,0,1,0,25,Chennai Super Kings,Delhi Capitals,Sharjah Cricket Stadium,Chennai Super Kings,bat
7175,Umesh Yadav,3.0,0,35,0,11.67,6,5,1,1,1,0,Royal Challengers Bangalore,Punjab Kings,Dubai International Cricket Stadium,Royal Challengers Bangalore,field
7176,Dale Steyn,4.0,0,57,0,14.25,5,5,4,1,0,-6,Royal Challengers Bangalore,Punjab Kings,Dubai International Cricket Stadium,Royal Challengers Bangalore,field
7177,Navdeep Saini,4.0,0,37,0,9.25,8,6,0,2,0,0,Royal Challengers Bangalore,Punjab Kings,Dubai International Cricket Stadium,Royal Challengers Bangalore,field
7178,Yuzvendra Chahal,4.0,0,25,1,6.25,8,2,0,0,0,25,Royal Challengers Bangalore,Punjab Kings,Dubai International Cricket Stadium,Royal Challengers Bangalore,field
7179,Washington Sundar,2.0,0,13,0,6.5,2,1,0,0,0,0,Royal Challengers Bangalore,Punjab Kings,Dubai International Cricket Stadium,Royal Challengers Bangalore,field
7180,Shivam Dube,3.0,0,33,2,11.0,3,2,2,0,0,50,Royal Challengers Bangalore,Punjab Kings,Dubai International Cricket Stadium,Royal Challengers Bangalore,field
7181,Sheldon Cottrell,3.0,0,17,2,5.67,12,1,1,2,0,50,Punjab Kings,Royal Challengers Bangalore,Dubai International Cricket Stadium,Royal Challengers Bangalore,field
7182,Mohammed Shami,3.0,0,14,1,4.67,10,2,0,0,0,31,Punjab Kings,Royal Challengers Bangalore,Dubai International Cricket Stadium,Royal Challengers Bangalore,field
7183,Ravi Bishnoi,4.0,0,32,3,8.0,12,3,1,2,0,79,Punjab Kings,Royal Challengers Bangalore,Dubai International Cricket Stadium,Royal Challengers Bangalore,field
7184,Murugan Ashwin,3.0,0,21,3,7.0,9,3,0,1,0,79,Punjab Kings,Royal Challengers Bangalore,Dubai International Cricket Stadium,Royal Challengers Bangalore,field
7185,James Neesham,2.0,0,13,0,6.5,5,0,1,1,0,0,Punjab Kings,Royal Challengers Bangalore,Dubai International Cricket Stadium,Royal Challengers Bangalore,field
7186,Glenn Maxwell,2.0,0,10,1,5.0,5,1,0,0,0,25,Punjab Kings,Royal Challengers Bangalore,Dubai International Cricket Stadium,Royal Challengers Bangalore,field
7187,Ankit Rajpoot,3.0,0,42,0,14.0,5,5,2,1,1,-6,Rajasthan Royals,Mumbai Indians,"Sheikh Zayed Stadium, Abu Dhabi",Mumbai Indians,bat
7188,Shreyas Gopal,4.0,0,28,2,7.0,11,3,1,0,0,50,Rajasthan Royals,Mumbai Indians,"Sheikh Zayed Stadium, Abu Dhabi",Mumbai Indians,bat
7189,Jofra Archer,4.0,0,34,1,8.5,11,3,2,0,1,25,Rajasthan Royals,Mumbai Indians,"Sheikh Zayed Stadium, Abu Dhabi",Mumbai Indians,bat
7190,Kartik Tyagi,4.0,0,36,1,9.0,8,3,1,3,0,25,Rajasthan Royals,Mumbai Indians,"Sheikh Zayed Stadium, Abu Dhabi",Mumbai Indians,bat
7191,Tom Curran,3.0,0,33,0,11.0,5,4,1,1,0,0,Rajasthan Royals,Mumbai Indians,"Sheikh Zayed Stadium, Abu Dhabi",Mumbai Indians,bat
7192,Rahul Tewatia,2.0,0,13,0,6.5,4,0,1,0,0,0,Rajasthan Royals,Mumbai Indians,"Sheikh Zayed Stadium, Abu Dhabi",Mumbai Indians,bat
7193,Trent Boult,4.0,0,26,2,6.5,12,3,1,0,0,50,Mumbai Indians,Rajasthan Royals,"Sheikh Zayed Stadium, Abu Dhabi",Mumbai Indians,bat
7194,Jasprit Bumrah,4.0,0,20,4,5.0,14,3,0,0,0,108,Mumbai Indians,Rajasthan Royals,"Sheikh Zayed Stadium, Abu Dhabi",Mumbai Indians,bat
7195,James Pattinson,3.1,0,19,2,6.0,9,2,0,0,0,50,Mumbai Indians,Rajasthan Royals,"Sheikh Zayed Stadium, Abu Dhabi",Mumbai Indians,bat
7196,Rahul Chahar,3.0,0,24,1,8.0,6,0,2,1,0,25,Mumbai Indians,Rajasthan Royals,"Sheikh Zayed Stadium, Abu Dhabi",Mumbai Indians,bat
7197,Krunal Pandya,2.0,0,22,0,11.0,2,0,2,0,0,0,Mumbai Indians,Rajasthan Royals,"Sheikh Zayed Stadium, Abu Dhabi",Mumbai Indians,bat
7198,Kieron Pollard,2.0,0,24,1,12.0,3,3,1,0,0,19,Mumbai Indians,Rajasthan Royals,"Sheikh Zayed Stadium, Abu Dhabi",Mumbai Indians,bat
7199,Sandeep Sharma,4.0,0,27,0,6.75,6,1,1,0,0,0,Sunrisers Hyderabad,Kolkata Knight Riders,"Sheikh Zayed Stadium, Abu Dhabi",Sunrisers Hyderabad,field
7200,Basil Thampi,4.0,0,46,1,11.5,5,6,1,0,0,25,Sunrisers Hyderabad,Kolkata Knight Riders,"Sheikh Zayed Stadium, Abu Dhabi",Sunrisers Hyderabad,field
7201,T Natarajan,4.0,0,40,2,10.0,9,4,2,0,1,50,Sunrisers Hyderabad,Kolkata Knight Riders,"Sheikh Zayed Stadium, Abu Dhabi",Sunrisers Hyderabad,field
7202,Vijay Shankar,4.0,0,20,1,5.0,13,3,0,0,0,25,Sunrisers Hyderabad,Kolkata Knight Riders,"Sheikh Zayed Stadium, Abu Dhabi",Sunrisers Hyderabad,field
7203,Rashid Khan,4.0,0,28,1,7.0,9,2,1,0,0,25,Sunrisers Hyderabad,Kolkata Knight Riders,"Sheikh Zayed Stadium, Abu Dhabi",Sunrisers Hyderabad,field
7204,Pat Cummins,4.0,0,28,1,7.0,13,3,1,0,0,25,Kolkata Knight Riders,Sunrisers Hyderabad,"Sheikh Zayed Stadium, Abu Dhabi",Sunrisers Hyderabad,field
7205,Shivam Mavi,3.0,0,34,1,11.33,6,5,1,1,0,25,Kolkata Knight Riders,Sunrisers Hyderabad,"Sheikh Zayed Stadium, Abu Dhabi",Sunrisers Hyderabad,field
7206,Varun Chakravarthy,4.0,0,32,1,8.0,7,4,0,0,0,25,Kolkata Knight Riders,Sunrisers Hyderabad,"Sheikh Zayed Stadium, Abu Dhabi",Sunrisers Hyderabad,field
7207,Andre Russell,2.0,0,29,0,14.5,3,6,0,0,1,-6,Kolkata Knight Riders,Sunrisers Hyderabad,"Sheikh Zayed Stadium, Abu Dhabi",Sunrisers Hyderabad,field
7208,Lockie Ferguson,4.0,0,15,3,3.75,13,0,0,0,0,85,Kolkata Knight Riders,Sunrisers Hyderabad,"Sheikh Zayed Stadium, Abu Dhabi",Sunrisers Hyderabad,field
