,Player,Overs,Maidens,Runs,Wickets,Econ,Dots,4s,6s,Wd,Nb,Fantasy_Points,Teams,Opponent_Team,Match_Location,Toss_Winner,Choose_to
1778,Muttiah Muralitharan,4.0,0,52,1,13.0,9,2,6,1,0,19,Chennai Super Kings,Rajasthan Royals,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai Super Kings,bat
1779,Shadab Jakati,3.0,0,37,0,12.33,4,1,4,0,0,-6,Chennai Super Kings,Rajasthan Royals,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai Super Kings,bat
1780,Suresh Raina,1.0,0,8,0,8.0,1,1,0,0,0,0,Chennai Super Kings,Rajasthan Royals,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai Super Kings,bat
1781,Rohit Sharma,3.0,0,26,0,8.67,4,2,0,2,0,0,Deccan Chargers,Mumbai Indians,"Brabourne Stadium, Mumbai",Mumbai Indians,bat
1782,Ryan Harris,4.0,0,40,1,10.0,7,6,0,0,0,25,Deccan Chargers,Mumbai Indians,"Brabourne Stadium, Mumbai",Mumbai Indians,bat
1783,Andrew Symonds,4.0,0,32,0,8.0,5,1,1,1,0,0,Deccan Chargers,Mumbai Indians,"Brabourne Stadium, Mumbai",Mumbai Indians,bat
1784,Jaskaran Singh,2.0,0,28,0,14.0,1,3,1,1,0,-6,Deccan Chargers,Mumbai Indians,"Brabourne Stadium, Mumbai",Mumbai Indians,bat
1785,Pragyan Ojha,4.0,0,26,3,6.5,12,3,1,0,0,79,Deccan Chargers,Mumbai Indians,"Brabourne Stadium, Mumbai",Mumbai Indians,bat
1786,Rahul Sharma,3.0,0,24,1,8.0,8,1,2,0,0,25,Deccan Chargers,Mumbai Indians,"Brabourne Stadium, Mumbai",Mumbai Indians,bat
1787,Harbhajan Singh,3.0,1,16,2,5.33,10,2,0,0,0,62,Mumbai Indians,Deccan Chargers,"Brabourne Stadium, Mumbai",Mumbai Indians,bat
1788,Lasith Malinga,3.2,0,20,1,6.0,11,1,1,1,0,25,Mumbai Indians,Deccan Chargers,"Brabourne Stadium, Mumbai",Mumbai Indians,bat
1789,Zaheer Khan,2.0,0,10,2,5.0,5,1,0,0,0,50,Mumbai Indians,Deccan Chargers,"Brabourne Stadium, Mumbai",Mumbai Indians,bat
1790,Dwayne Bravo,2.0,0,12,0,6.0,5,1,0,0,0,0,Mumbai Indians,Deccan Chargers,"Brabourne Stadium, Mumbai",Mumbai Indians,bat
1791,Kieron Pollard,4.0,0,26,2,6.5,7,0,0,2,1,50,Mumbai Indians,Deccan Chargers,"Brabourne Stadium, Mumbai",Mumbai Indians,bat
1792,Ryan McLaren,4.0,0,28,2,7.0,8,3,0,0,0,50,Mumbai Indians,Deccan Chargers,"Brabourne Stadium, Mumbai",Mumbai Indians,bat
1793,Irfan Pathan,4.0,0,36,1,9.0,7,4,1,1,0,25,Punjab Kings,Kolkata Knight Riders,"Eden Gardens, Kolkata",Kolkata Knight Riders,bat
1794,Ramesh Powar,4.0,0,23,0,5.75,10,1,1,1,0,0,Punjab Kings,Kolkata Knight Riders,"Eden Gardens, Kolkata",Kolkata Knight Riders,bat
1795,Shalabh Srivastava,3.0,0,35,0,11.67,7,5,1,2,0,0,Punjab Kings,Kolkata Knight Riders,"Eden Gardens, Kolkata",Kolkata Knight Riders,bat
1796,Rusty Theron,4.0,0,36,1,9.0,7,4,1,0,1,25,Punjab Kings,Kolkata Knight Riders,"Eden Gardens, Kolkata",Kolkata Knight Riders,bat
1797,Ravi Bopara,3.0,0,43,1,14.33,4,0,4,2,0,19,Punjab Kings,Kolkata Knight Riders,"Eden Gardens, Kolkata",Kolkata Knight Riders,bat
1798,Piyush Chawla,2.0,0,26,0,13.0,2,2,2,0,0,-6,Punjab Kings,Kolkata Knight Riders,"Eden Gardens, Kolkata",Kolkata Knight Riders,bat
1799,Shane Bond,4.0,0,32,1,8.0,7,4,0,1,0,25,Kolkata Knight Riders,Punjab Kings,"Eden Gardens, Kolkata",Kolkata Knight Riders,bat
1800,Jaydev Unadkat,2.2,0,32,0,13.71,2,5,1,0,0,-6,Kolkata Knight Riders,Punjab Kings,"Eden Gardens, Kolkata",Kolkata Knight Riders,bat
1801,Murali Kartik,4.0,0,41,1,10.25,3,3,2,1,0,25,Kolkata Knight Riders,Punjab Kings,"Eden Gardens, Kolkata",Kolkata Knight Riders,bat
1802,Chris Gayle,1.0,0,16,0,16.0,1,2,1,0,0,0,Kolkata Knight Riders,Punjab Kings,"Eden Gardens, Kolkata",Kolkata Knight Riders,bat
1803,Angelo Mathews,3.0,0,32,0,10.67,3,2,2,0,0,0,Kolkata Knight Riders,Punjab Kings,"Eden Gardens, Kolkata",Kolkata Knight Riders,bat
1804,Ajit Agarkar,3.0,0,35,0,11.67,5,5,1,0,0,0,Kolkata Knight Riders,Punjab Kings,"Eden Gardens, Kolkata",Kolkata Knight Riders,bat
1805,David Hussey,1.0,0,13,0,13.0,0,0,1,0,0,0,Kolkata Knight Riders,Punjab Kings,"Eden Gardens, Kolkata",Kolkata Knight Riders,bat
1806,Anil Kumble,4.0,0,33,1,8.25,12,3,2,0,0,25,Royal Challengers Bangalore,Delhi Capitals,"Arun Jaitley Stadium, Delhi",Delhi Capitals,bat
1807,Vinay Kumar,4.0,0,35,0,8.75,10,5,1,0,0,0,Royal Challengers Bangalore,Delhi Capitals,"Arun Jaitley Stadium, Delhi",Delhi Capitals,bat
1808,Abhimanyu Mithun,3.0,0,39,1,13.0,2,2,3,1,1,19,Royal Challengers Bangalore,Delhi Capitals,"Arun Jaitley Stadium, Delhi",Delhi Capitals,bat
1809,Jacques Kallis,3.0,0,26,0,8.67,8,3,1,0,0,0,Royal Challengers Bangalore,Delhi Capitals,"Arun Jaitley Stadium, Delhi",Delhi Capitals,bat
1810,Kevin Pietersen,1.0,0,3,0,3.0,4,0,0,0,0,0,Royal Challengers Bangalore,Delhi Capitals,"Arun Jaitley Stadium, Delhi",Delhi Capitals,bat
1811,KP Appanna,4.0,0,24,1,6.0,10,0,2,0,0,25,Royal Challengers Bangalore,Delhi Capitals,"Arun Jaitley Stadium, Delhi",Delhi Capitals,bat
1812,Cameron White,1.0,0,19,0,19.0,2,1,2,1,0,0,Royal Challengers Bangalore,Delhi Capitals,"Arun Jaitley Stadium, Delhi",Delhi Capitals,bat
1813,Farveez Maharoof,4.0,0,28,1,7.0,9,4,0,0,0,25,Delhi Capitals,Royal Challengers Bangalore,"Arun Jaitley Stadium, Delhi",Delhi Capitals,bat
1814,Amit Mishra,4.0,0,32,3,8.0,13,1,3,0,1,79,Delhi Capitals,Royal Challengers Bangalore,"Arun Jaitley Stadium, Delhi",Delhi Capitals,bat
1815,Daniel Vettori,4.0,0,40,1,10.0,7,2,3,0,0,25,Delhi Capitals,Royal Challengers Bangalore,"Arun Jaitley Stadium, Delhi",Delhi Capitals,bat
1816,Rajat Bhatia,4.0,0,24,1,6.0,5,1,0,0,0,25,Delhi Capitals,Royal Challengers Bangalore,"Arun Jaitley Stadium, Delhi",Delhi Capitals,bat
1817,Pradeep Sangwan,4.0,0,22,3,5.5,7,1,0,0,0,79,Delhi Capitals,Royal Challengers Bangalore,"Arun Jaitley Stadium, Delhi",Delhi Capitals,bat
1818,Ryan Harris,4.0,0,34,2,8.5,11,4,1,1,0,50,Deccan Chargers,Rajasthan Royals,"Vidarbha Cricket Association Stadium, Jamtha, Nagpur",Rajasthan Royals,bat
1819,Dwayne Smith,2.5,0,22,1,7.76,5,3,0,0,0,25,Deccan Chargers,Rajasthan Royals,"Vidarbha Cricket Association Stadium, Jamtha, Nagpur",Rajasthan Royals,bat
1820,RP Singh,4.0,0,17,3,4.25,13,1,0,1,0,85,Deccan Chargers,Rajasthan Royals,"Vidarbha Cricket Association Stadium, Jamtha, Nagpur",Rajasthan Royals,bat
1821,Harmeet Singh,4.0,0,25,2,6.25,13,2,1,1,0,50,Deccan Chargers,Rajasthan Royals,"Vidarbha Cricket Association Stadium, Jamtha, Nagpur",Rajasthan Royals,bat
1822,Andrew Symonds,2.0,0,18,0,9.0,3,0,1,0,0,0,Deccan Chargers,Rajasthan Royals,"Vidarbha Cricket Association Stadium, Jamtha, Nagpur",Rajasthan Royals,bat
1823,Pragyan Ojha,3.0,0,37,1,12.33,2,4,1,1,0,19,Deccan Chargers,Rajasthan Royals,"Vidarbha Cricket Association Stadium, Jamtha, Nagpur",Rajasthan Royals,bat
1824,Yusuf Pathan,2.0,0,3,0,1.5,9,0,0,0,0,6,Rajasthan Royals,Deccan Chargers,"Vidarbha Cricket Association Stadium, Jamtha, Nagpur",Rajasthan Royals,bat
1825,Shane Watson,3.0,0,40,0,13.33,4,5,1,4,0,-6,Rajasthan Royals,Deccan Chargers,"Vidarbha Cricket Association Stadium, Jamtha, Nagpur",Rajasthan Royals,bat
1826,Aditya Dole,4.0,0,42,2,10.5,8,3,2,1,1,50,Rajasthan Royals,Deccan Chargers,"Vidarbha Cricket Association Stadium, Jamtha, Nagpur",Rajasthan Royals,bat
1827,Morne Morkel,4.0,0,32,0,8.0,9,4,1,0,0,0,Rajasthan Royals,Deccan Chargers,"Vidarbha Cricket Association Stadium, Jamtha, Nagpur",Rajasthan Royals,bat
1828,Siddharth Trivedi,2.5,0,16,3,5.65,8,2,0,1,0,79,Rajasthan Royals,Deccan Chargers,"Vidarbha Cricket Association Stadium, Jamtha, Nagpur",Rajasthan Royals,bat
1829,Shane Warne,4.0,0,21,4,5.25,13,1,1,0,0,108,Rajasthan Royals,Deccan Chargers,"Vidarbha Cricket Association Stadium, Jamtha, Nagpur",Rajasthan Royals,bat
1830,Ryan McLaren,3.0,0,25,0,8.33,6,3,0,1,0,0,Mumbai Indians,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai Super Kings,bat
1831,Harbhajan Singh,4.0,0,23,1,5.75,11,2,0,1,1,25,Mumbai Indians,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai Super Kings,bat
1832,Lasith Malinga,4.0,0,36,0,9.0,8,3,1,2,0,0,Mumbai Indians,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai Super Kings,bat
1833,Abu Nechim,2.0,0,26,0,13.0,3,3,0,2,0,-6,Mumbai Indians,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai Super Kings,bat
1834,Dwayne Bravo,2.0,0,21,1,10.5,3,1,1,1,0,25,Mumbai Indians,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai Super Kings,bat
1835,Kieron Pollard,4.0,0,27,2,6.75,4,2,0,0,0,50,Mumbai Indians,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai Super Kings,bat
1836,Rajagopal Sathish,1.0,0,5,0,5.0,2,0,0,0,0,0,Mumbai Indians,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai Super Kings,bat
1837,Sudeep Tyagi,3.0,0,20,1,6.67,6,2,0,1,0,25,Chennai Super Kings,Mumbai Indians,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai Super Kings,bat
1838,Doug Bollinger,4.0,0,39,1,9.75,11,3,3,1,0,25,Chennai Super Kings,Mumbai Indians,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai Super Kings,bat
1839,Ravichandran Ashwin,4.0,0,22,2,5.5,11,2,0,2,0,50,Chennai Super Kings,Mumbai Indians,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai Super Kings,bat
1840,Thilan Thushara,2.3,0,16,2,6.4,7,1,0,1,2,50,Chennai Super Kings,Mumbai Indians,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai Super Kings,bat
1841,Shadab Jakati,4.0,0,27,1,6.75,10,3,0,1,0,25,Chennai Super Kings,Mumbai Indians,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai Super Kings,bat
1842,Suresh Raina,2.3,0,12,1,4.8,6,0,0,1,0,31,Chennai Super Kings,Mumbai Indians,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai Super Kings,bat
1843,Aditya Dole,4.0,0,36,2,9.0,7,4,1,2,0,50,Rajasthan Royals,Punjab Kings,"Sawai Mansingh Stadium, Jaipur",Punjab Kings,bat
1844,Shane Watson,4.0,0,19,1,4.75,14,2,0,1,0,31,Rajasthan Royals,Punjab Kings,"Sawai Mansingh Stadium, Jaipur",Punjab Kings,bat
1845,Yusuf Pathan,4.0,0,26,0,6.5,9,3,0,1,0,0,Rajasthan Royals,Punjab Kings,"Sawai Mansingh Stadium, Jaipur",Punjab Kings,bat
1846,Siddharth Trivedi,4.0,0,22,2,5.5,9,1,0,1,0,50,Rajasthan Royals,Punjab Kings,"Sawai Mansingh Stadium, Jaipur",Punjab Kings,bat
1847,Shane Warne,3.0,0,42,0,14.0,2,3,3,1,0,-6,Rajasthan Royals,Punjab Kings,"Sawai Mansingh Stadium, Jaipur",Punjab Kings,bat
1848,Faiz Fazal,1.0,0,6,0,6.0,0,0,0,0,0,0,Rajasthan Royals,Punjab Kings,"Sawai Mansingh Stadium, Jaipur",Punjab Kings,bat
1849,Sreesanth,3.0,0,40,0,13.33,6,5,1,2,3,-6,Punjab Kings,Rajasthan Royals,"Sawai Mansingh Stadium, Jaipur",Punjab Kings,bat
1850,Ramesh Powar,2.0,0,18,0,9.0,6,4,0,0,0,0,Punjab Kings,Rajasthan Royals,"Sawai Mansingh Stadium, Jaipur",Punjab Kings,bat
1851,Rusty Theron,2.0,0,23,0,11.5,3,3,1,0,0,0,Punjab Kings,Rajasthan Royals,"Sawai Mansingh Stadium, Jaipur",Punjab Kings,bat
1852,Piyush Chawla,4.0,0,27,0,6.75,12,1,2,0,0,0,Punjab Kings,Rajasthan Royals,"Sawai Mansingh Stadium, Jaipur",Punjab Kings,bat
1853,Bipul Sharma,1.0,0,12,0,12.0,0,2,0,0,0,0,Punjab Kings,Rajasthan Royals,"Sawai Mansingh Stadium, Jaipur",Punjab Kings,bat
1854,Irfan Pathan,1.0,0,17,0,17.0,1,4,0,0,0,0,Punjab Kings,Rajasthan Royals,"Sawai Mansingh Stadium, Jaipur",Punjab Kings,bat
1855,Ravi Bopara,2.0,0,18,1,9.0,4,1,1,2,0,25,Punjab Kings,Rajasthan Royals,"Sawai Mansingh Stadium, Jaipur",Punjab Kings,bat
1856,Farveez Maharoof,3.0,0,30,0,10.0,5,3,1,0,0,0,Delhi Capitals,Kolkata Knight Riders,"Eden Gardens, Kolkata",Kolkata Knight Riders,bat
1857,Daniel Vettori,4.0,0,30,1,7.5,7,3,0,1,0,25,Delhi Capitals,Kolkata Knight Riders,"Eden Gardens, Kolkata",Kolkata Knight Riders,bat
1858,Pradeep Sangwan,3.0,0,30,0,10.0,8,4,1,1,0,0,Delhi Capitals,Kolkata Knight Riders,"Eden Gardens, Kolkata",Kolkata Knight Riders,bat
1859,Amit Mishra,4.0,0,41,0,10.25,11,5,2,2,0,0,Delhi Capitals,Kolkata Knight Riders,"Eden Gardens, Kolkata",Kolkata Knight Riders,bat
1860,Paul Collingwood,2.0,0,19,0,9.5,2,1,1,1,0,0,Delhi Capitals,Kolkata Knight Riders,"Eden Gardens, Kolkata",Kolkata Knight Riders,bat
1861,Rajat Bhatia,4.0,0,30,1,7.5,6,1,1,1,0,25,Delhi Capitals,Kolkata Knight Riders,"Eden Gardens, Kolkata",Kolkata Knight Riders,bat
1862,Ashok Dinda,4.0,0,21,2,5.25,13,3,0,1,0,50,Kolkata Knight Riders,Delhi Capitals,"Eden Gardens, Kolkata",Kolkata Knight Riders,bat
1863,Ajit Agarkar,4.0,0,36,1,9.0,9,5,1,1,0,25,Kolkata Knight Riders,Delhi Capitals,"Eden Gardens, Kolkata",Kolkata Knight Riders,bat
1864,Angelo Mathews,3.0,0,43,0,14.33,3,5,2,0,0,-6,Kolkata Knight Riders,Delhi Capitals,"Eden Gardens, Kolkata",Kolkata Knight Riders,bat
1865,Ajantha Mendis,4.0,0,22,2,5.5,7,0,0,1,0,50,Kolkata Knight Riders,Delhi Capitals,"Eden Gardens, Kolkata",Kolkata Knight Riders,bat
1866,Sourav Ganguly,1.0,0,12,0,12.0,0,0,1,1,0,0,Kolkata Knight Riders,Delhi Capitals,"Eden Gardens, Kolkata",Kolkata Knight Riders,bat
1867,Iqbal Abdulla,4.0,0,28,1,7.0,8,3,0,0,0,25,Kolkata Knight Riders,Delhi Capitals,"Eden Gardens, Kolkata",Kolkata Knight Riders,bat
1868,Ryan Harris,4.0,0,37,2,9.25,11,2,2,3,0,50,Deccan Chargers,Royal Challengers Bangalore,"M.Chinnaswamy Stadium, Bengaluru",Deccan Chargers,field
1869,Harmeet Singh,1.0,0,13,0,13.0,3,1,1,2,0,0,Deccan Chargers,Royal Challengers Bangalore,"M.Chinnaswamy Stadium, Bengaluru",Deccan Chargers,field
1870,RP Singh,4.0,0,38,0,9.5,8,3,2,1,0,0,Deccan Chargers,Royal Challengers Bangalore,"M.Chinnaswamy Stadium, Bengaluru",Deccan Chargers,field
1871,Mitchell Marsh,4.0,0,37,1,9.25,11,5,1,3,0,25,Deccan Chargers,Royal Challengers Bangalore,"M.Chinnaswamy Stadium, Bengaluru",Deccan Chargers,field
1872,Pragyan Ojha,4.0,0,24,2,6.0,9,1,0,0,0,50,Deccan Chargers,Royal Challengers Bangalore,"M.Chinnaswamy Stadium, Bengaluru",Deccan Chargers,field
1873,Andrew Symonds,3.0,0,34,1,11.33,5,3,2,1,0,25,Deccan Chargers,Royal Challengers Bangalore,"M.Chinnaswamy Stadium, Bengaluru",Deccan Chargers,field
1874,Praveen Kumar,4.0,0,37,1,9.25,11,4,2,1,0,25,Royal Challengers Bangalore,Deccan Chargers,"M.Chinnaswamy Stadium, Bengaluru",Deccan Chargers,field
1875,Anil Kumble,4.0,0,38,1,9.5,8,3,2,1,0,25,Royal Challengers Bangalore,Deccan Chargers,"M.Chinnaswamy Stadium, Bengaluru",Deccan Chargers,field
1876,Dale Steyn,4.0,0,38,0,9.5,6,5,0,3,0,0,Royal Challengers Bangalore,Deccan Chargers,"M.Chinnaswamy Stadium, Bengaluru",Deccan Chargers,field
1877,Jacques Kallis,4.0,0,32,0,8.0,8,2,2,0,0,0,Royal Challengers Bangalore,Deccan Chargers,"M.Chinnaswamy Stadium, Bengaluru",Deccan Chargers,field
1878,Vinay Kumar,3.2,0,39,1,11.7,3,3,2,0,0,25,Royal Challengers Bangalore,Deccan Chargers,"M.Chinnaswamy Stadium, Bengaluru",Deccan Chargers,field
1879,Brett Lee,4.0,0,38,0,9.5,6,4,1,0,0,0,Punjab Kings,Mumbai Indians,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Mumbai Indians,bat
1880,Irfan Pathan,4.0,0,29,3,7.25,9,4,0,0,0,79,Punjab Kings,Mumbai Indians,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Mumbai Indians,bat
1881,Love Ablish,2.0,0,17,2,8.5,5,3,0,1,0,50,Punjab Kings,Mumbai Indians,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Mumbai Indians,bat
1882,Piyush Chawla,4.0,0,24,3,6.0,9,2,0,0,0,79,Punjab Kings,Mumbai Indians,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Mumbai Indians,bat
1883,Yuvraj Singh,2.0,0,15,0,7.5,1,1,0,0,0,0,Punjab Kings,Mumbai Indians,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Mumbai Indians,bat
1884,Ramesh Powar,4.0,0,28,0,7.0,6,1,1,0,0,0,Punjab Kings,Mumbai Indians,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Mumbai Indians,bat
1885,Ryan McLaren,2.0,0,13,0,6.5,5,2,0,0,0,0,Mumbai Indians,Punjab Kings,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Mumbai Indians,bat
1886,Zaheer Khan,3.2,0,36,0,10.8,7,7,0,0,0,0,Mumbai Indians,Punjab Kings,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Mumbai Indians,bat
1887,Lasith Malinga,4.0,0,36,2,9.0,12,6,1,0,0,50,Mumbai Indians,Punjab Kings,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Mumbai Indians,bat
1888,Harbhajan Singh,4.0,0,34,0,8.5,6,3,1,1,0,0,Mumbai Indians,Punjab Kings,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Mumbai Indians,bat
1889,Rajagopal Sathish,2.0,0,14,0,7.0,3,1,0,1,0,0,Mumbai Indians,Punjab Kings,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Mumbai Indians,bat
1890,Jean-Paul Duminy,3.0,0,15,1,5.0,8,0,1,0,0,25,Mumbai Indians,Punjab Kings,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Mumbai Indians,bat
1891,Kieron Pollard,1.0,0,9,1,9.0,2,1,0,1,0,25,Mumbai Indians,Punjab Kings,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Mumbai Indians,bat
1892,Ryan Harris,4.0,0,18,3,4.5,11,1,0,0,0,85,Deccan Chargers,Chennai Super Kings,"Vidarbha Cricket Association Stadium, Jamtha, Nagpur",Chennai Super Kings,bat
1893,RP Singh,2.0,0,18,1,9.0,3,2,0,1,0,25,Deccan Chargers,Chennai Super Kings,"Vidarbha Cricket Association Stadium, Jamtha, Nagpur",Chennai Super Kings,bat
1894,Rohit Sharma,2.0,0,19,0,9.5,4,2,0,2,0,0,Deccan Chargers,Chennai Super Kings,"Vidarbha Cricket Association Stadium, Jamtha, Nagpur",Chennai Super Kings,bat
1895,Harmeet Singh,4.0,0,21,1,5.25,10,0,1,0,0,25,Deccan Chargers,Chennai Super Kings,"Vidarbha Cricket Association Stadium, Jamtha, Nagpur",Chennai Super Kings,bat
1896,Dwayne Smith,1.0,0,14,0,14.0,1,3,0,0,0,0,Deccan Chargers,Chennai Super Kings,"Vidarbha Cricket Association Stadium, Jamtha, Nagpur",Chennai Super Kings,bat
1897,Andrew Symonds,4.0,0,23,1,5.75,10,1,1,0,0,25,Deccan Chargers,Chennai Super Kings,"Vidarbha Cricket Association Stadium, Jamtha, Nagpur",Chennai Super Kings,bat
1898,Pragyan Ojha,3.0,0,20,1,6.67,6,0,1,0,0,25,Deccan Chargers,Chennai Super Kings,"Vidarbha Cricket Association Stadium, Jamtha, Nagpur",Chennai Super Kings,bat
1899,Ravichandran Ashwin,4.0,0,13,2,3.25,18,1,0,1,0,56,Chennai Super Kings,Deccan Chargers,"Vidarbha Cricket Association Stadium, Jamtha, Nagpur",Chennai Super Kings,bat
1900,Doug Bollinger,3.0,0,31,0,10.33,4,3,1,2,0,0,Chennai Super Kings,Deccan Chargers,"Vidarbha Cricket Association Stadium, Jamtha, Nagpur",Chennai Super Kings,bat
1901,Shadab Jakati,4.0,0,29,1,7.25,11,1,2,0,0,25,Chennai Super Kings,Deccan Chargers,"Vidarbha Cricket Association Stadium, Jamtha, Nagpur",Chennai Super Kings,bat
1902,Thilan Thushara,4.0,0,27,0,6.75,10,1,1,2,0,0,Chennai Super Kings,Deccan Chargers,"Vidarbha Cricket Association Stadium, Jamtha, Nagpur",Chennai Super Kings,bat
1903,Suresh Raina,3.1,0,25,1,7.89,6,1,1,1,0,25,Chennai Super Kings,Deccan Chargers,"Vidarbha Cricket Association Stadium, Jamtha, Nagpur",Chennai Super Kings,bat
1904,Sudeep Tyagi,1.0,0,12,0,12.0,3,1,1,0,0,0,Chennai Super Kings,Deccan Chargers,"Vidarbha Cricket Association Stadium, Jamtha, Nagpur",Chennai Super Kings,bat
1905,Praveen Kumar,3.0,0,37,0,12.33,5,4,2,2,0,-6,Royal Challengers Bangalore,Kolkata Knight Riders,"M.Chinnaswamy Stadium, Bengaluru",Royal Challengers Bangalore,field
1906,Dale Steyn,4.0,0,27,1,6.75,13,3,1,1,0,25,Royal Challengers Bangalore,Kolkata Knight Riders,"M.Chinnaswamy Stadium, Bengaluru",Royal Challengers Bangalore,field
1907,Jacques Kallis,4.0,0,31,2,7.75,9,0,3,1,0,50,Royal Challengers Bangalore,Kolkata Knight Riders,"M.Chinnaswamy Stadium, Bengaluru",Royal Challengers Bangalore,field
1908,Anil Kumble,4.0,0,17,1,4.25,15,1,0,1,0,31,Royal Challengers Bangalore,Kolkata Knight Riders,"M.Chinnaswamy Stadium, Bengaluru",Royal Challengers Bangalore,field
1909,Sridharan Sriram,2.0,0,24,0,12.0,2,3,1,0,0,-6,Royal Challengers Bangalore,Kolkata Knight Riders,"M.Chinnaswamy Stadium, Bengaluru",Royal Challengers Bangalore,field
1910,Vinay Kumar,3.0,0,23,3,7.67,9,2,1,1,0,79,Royal Challengers Bangalore,Kolkata Knight Riders,"M.Chinnaswamy Stadium, Bengaluru",Royal Challengers Bangalore,field
1911,Ashok Dinda,3.1,0,15,2,4.74,10,1,0,0,0,56,Kolkata Knight Riders,Royal Challengers Bangalore,"M.Chinnaswamy Stadium, Bengaluru",Royal Challengers Bangalore,field
1912,Ishant Sharma,4.0,0,46,0,11.5,7,6,1,2,0,0,Kolkata Knight Riders,Royal Challengers Bangalore,"M.Chinnaswamy Stadium, Bengaluru",Royal Challengers Bangalore,field
1913,Ajit Agarkar,3.0,0,29,0,9.67,5,2,2,0,0,0,Kolkata Knight Riders,Royal Challengers Bangalore,"M.Chinnaswamy Stadium, Bengaluru",Royal Challengers Bangalore,field
1914,Angelo Mathews,3.0,0,25,1,8.33,5,2,1,0,0,25,Kolkata Knight Riders,Royal Challengers Bangalore,"M.Chinnaswamy Stadium, Bengaluru",Royal Challengers Bangalore,field
1915,Ajantha Mendis,4.0,0,44,0,11.0,7,2,3,1,0,0,Kolkata Knight Riders,Royal Challengers Bangalore,"M.Chinnaswamy Stadium, Bengaluru",Royal Challengers Bangalore,field
1916,Ramesh Powar,4.0,0,25,0,6.25,17,1,0,3,0,0,Punjab Kings,Delhi Capitals,"Arun Jaitley Stadium, Delhi",Delhi Capitals,bat
1917,Irfan Pathan,3.4,0,24,3,6.55,12,3,0,3,0,79,Punjab Kings,Delhi Capitals,"Arun Jaitley Stadium, Delhi",Delhi Capitals,bat
1918,Love Ablish,2.0,0,19,1,9.5,3,2,0,2,0,25,Punjab Kings,Delhi Capitals,"Arun Jaitley Stadium, Delhi",Delhi Capitals,bat
1919,Piyush Chawla,4.0,0,16,2,4.0,14,2,0,0,0,56,Punjab Kings,Delhi Capitals,"Arun Jaitley Stadium, Delhi",Delhi Capitals,bat
1920,Yuvraj Singh,4.0,0,14,1,3.5,11,0,0,0,0,31,Punjab Kings,Delhi Capitals,"Arun Jaitley Stadium, Delhi",Delhi Capitals,bat
1921,Rusty Theron,2.0,0,11,1,5.5,3,0,0,0,0,25,Punjab Kings,Delhi Capitals,"Arun Jaitley Stadium, Delhi",Delhi Capitals,bat
1922,Ashish Nehra,2.0,0,8,0,4.0,7,1,0,0,0,6,Delhi Capitals,Punjab Kings,"Arun Jaitley Stadium, Delhi",Delhi Capitals,bat
1923,Farveez Maharoof,2.0,0,16,0,8.0,4,1,1,0,0,0,Delhi Capitals,Punjab Kings,"Arun Jaitley Stadium, Delhi",Delhi Capitals,bat
1924,Amit Mishra,4.0,0,15,1,3.75,12,1,0,0,0,31,Delhi Capitals,Punjab Kings,"Arun Jaitley Stadium, Delhi",Delhi Capitals,bat
1925,Rajat Bhatia,2.0,0,19,0,9.5,4,2,1,0,0,0,Delhi Capitals,Punjab Kings,"Arun Jaitley Stadium, Delhi",Delhi Capitals,bat
1926,Daniel Vettori,3.4,0,27,0,7.36,8,4,0,1,0,0,Delhi Capitals,Punjab Kings,"Arun Jaitley Stadium, Delhi",Delhi Capitals,bat
