,Player,Runs,Balls,4s,6s,Fantasy_Points,Teams,Opponent_Team,Toss_Winner,Choose_to,Match_Location,strike_rate
8944,Kieron Pollard,18,14,1,1,21,Mumbai Indians,Chennai Super Kings,Chennai Super Kings,field,"Sheikh Zayed Stadium, Abu Dhabi",128.57
8945,Krunal Pandya,3,3,0,0,3,Mumbai Indians,Chennai Super Kings,Chennai Super Kings,field,"Sheikh Zayed Stadium, Abu Dhabi",100.0
8946,James Pattinson,11,8,2,0,13,Mumbai Indians,Chennai Super Kings,Chennai Super Kings,field,"Sheikh Zayed Stadium, Abu Dhabi",137.5
8947,Rahul Chahar,2,4,0,0,2,Mumbai Indians,Chennai Super Kings,Chennai Super Kings,field,"Sheikh Zayed Stadium, Abu Dhabi",50.0
8948,Trent Boult,0,1,0,0,-2,Mumbai Indians,Chennai Super Kings,Chennai Super Kings,field,"Sheikh Zayed Stadium, Abu Dhabi",0.0
8949,Jasprit Bumrah,5,3,0,0,5,Mumbai Indians,Chennai Super Kings,Chennai Super Kings,field,"Sheikh Zayed Stadium, Abu Dhabi",166.67
8950,Murali Vijay,1,7,0,0,-5,Chennai Super Kings,Mumbai Indians,Chennai Super Kings,field,"Sheikh Zayed Stadium, Abu Dhabi",14.29
8951,Shane Watson,4,5,1,0,5,Chennai Super Kings,Mumbai Indians,Chennai Super Kings,field,"Sheikh Zayed Stadium, Abu Dhabi",80.0
8952,Faf du Plessis,58,44,6,0,64,Chennai Super Kings,Mumbai Indians,Chennai Super Kings,field,"Sheikh Zayed Stadium, Abu Dhabi",131.82
8953,Ambati Rayudu,71,48,6,3,83,Chennai Super Kings,Mumbai Indians,Chennai Super Kings,field,"Sheikh Zayed Stadium, Abu Dhabi",147.92
8954,Ravindra Jadeja,10,5,2,0,18,Chennai Super Kings,Mumbai Indians,Chennai Super Kings,field,"Sheikh Zayed Stadium, Abu Dhabi",200.0
8955,Sam Curran,18,6,1,2,29,Chennai Super Kings,Mumbai Indians,Chennai Super Kings,field,"Sheikh Zayed Stadium, Abu Dhabi",300.0
