,Player,Runs,Balls,4s,6s,Fantasy_Points,Teams,Opponent_Team,Toss_Winner,Choose_to,Match_Location,strike_rate
904,Parthiv Patel,0,2,0,0,-2,Chennai Super Kings,Mumbai Indians,Chennai Super Kings,field,"Newlands, Cape Town",0.0
905,Matthew Hayden,44,35,6,1,52,Chennai Super Kings,Mumbai Indians,Chennai Super Kings,field,"Newlands, Cape Town",125.71
906,Suresh Raina,8,9,1,0,9,Chennai Super Kings,Mumbai Indians,Chennai Super Kings,field,"Newlands, Cape Town",88.89
907,Andrew Flintoff,24,23,2,1,28,Chennai Super Kings,Mumbai Indians,Chennai Super Kings,field,"Newlands, Cape Town",104.35
908,MS Dhoni,36,26,1,2,41,Chennai Super Kings,Mumbai Indians,Chennai Super Kings,field,"Newlands, Cape Town",138.46
909,Jacob Oram,8,6,0,1,10,Chennai Super Kings,Mumbai Indians,Chennai Super Kings,field,"Newlands, Cape Town",133.33
910,S Badrinath,0,2,0,0,-2,Chennai Super Kings,Mumbai Indians,Chennai Super Kings,field,"Newlands, Cape Town",0.0
911,Joginder Sharma,16,15,0,1,18,Chennai Super Kings,Mumbai Indians,Chennai Super Kings,field,"Newlands, Cape Town",106.67
912,Thilan Thushara,1,2,0,0,1,Chennai Super Kings,Mumbai Indians,Chennai Super Kings,field,"Newlands, Cape Town",50.0
913,Jesse Ryder,0,2,0,0,-2,Royal Challengers Bangalore,Rajasthan Royals,Royal Challengers Bangalore,bat,"Newlands, Cape Town",0.0
914,Robin Uthappa,3,10,0,0,-3,Royal Challengers Bangalore,Rajasthan Royals,Royal Challengers Bangalore,bat,"Newlands, Cape Town",30.0
915,Ross Taylor,0,1,0,0,-2,Royal Challengers Bangalore,Rajasthan Royals,Royal Challengers Bangalore,bat,"Newlands, Cape Town",0.0
916,Kevin Pietersen,32,30,4,0,36,Royal Challengers Bangalore,Rajasthan Royals,Royal Challengers Bangalore,bat,"Newlands, Cape Town",106.67
917,Rahul Dravid,66,48,8,1,76,Royal Challengers Bangalore,Rajasthan Royals,Royal Challengers Bangalore,bat,"Newlands, Cape Town",137.5
918,Virat Kohli,3,8,0,0,-3,Royal Challengers Bangalore,Rajasthan Royals,Royal Challengers Bangalore,bat,"Newlands, Cape Town",37.5
919,Balachandra Akhil,9,9,1,0,10,Royal Challengers Bangalore,Rajasthan Royals,Royal Challengers Bangalore,bat,"Newlands, Cape Town",100.0
920,Praveen Kumar,8,10,0,1,10,Royal Challengers Bangalore,Rajasthan Royals,Royal Challengers Bangalore,bat,"Newlands, Cape Town",80.0
921,Vinay Kumar,8,2,2,0,16,Royal Challengers Bangalore,Rajasthan Royals,Royal Challengers Bangalore,bat,"Newlands, Cape Town",400.0
922,Dale Steyn,0,0,0,0,-2,Royal Challengers Bangalore,Rajasthan Royals,Royal Challengers Bangalore,bat,"Newlands, Cape Town",
923,Graeme Smith,2,11,0,0,-4,Rajasthan Royals,Royal Challengers Bangalore,Royal Challengers Bangalore,bat,"Newlands, Cape Town",18.18
924,Swapnil Asnodkar,0,2,0,0,-2,Rajasthan Royals,Royal Challengers Bangalore,Royal Challengers Bangalore,bat,"Newlands, Cape Town",0.0
925,Niraj Patel,4,16,0,0,-2,Rajasthan Royals,Royal Challengers Bangalore,Royal Challengers Bangalore,bat,"Newlands, Cape Town",25.0
926,Tyron Henderson,11,15,0,1,13,Rajasthan Royals,Royal Challengers Bangalore,Royal Challengers Bangalore,bat,"Newlands, Cape Town",73.33
927,Yusuf Pathan,11,14,1,0,12,Rajasthan Royals,Royal Challengers Bangalore,Royal Challengers Bangalore,bat,"Newlands, Cape Town",78.57
928,Dimitri Mascarenhas,0,1,0,0,-2,Rajasthan Royals,Royal Challengers Bangalore,Royal Challengers Bangalore,bat,"Newlands, Cape Town",0.0
929,Ravindra Jadeja,11,10,0,1,13,Rajasthan Royals,Royal Challengers Bangalore,Royal Challengers Bangalore,bat,"Newlands, Cape Town",110.0
930,Shane Warne,3,9,0,0,-3,Rajasthan Royals,Royal Challengers Bangalore,Royal Challengers Bangalore,bat,"Newlands, Cape Town",33.33
931,Mahesh Rawat,4,7,0,0,4,Rajasthan Royals,Royal Challengers Bangalore,Royal Challengers Bangalore,bat,"Newlands, Cape Town",57.14
932,Munaf Patel,0,2,0,0,-2,Rajasthan Royals,Royal Challengers Bangalore,Royal Challengers Bangalore,bat,"Newlands, Cape Town",0.0
933,Kamran Khan,3,5,0,0,3,Rajasthan Royals,Royal Challengers Bangalore,Royal Challengers Bangalore,bat,"Newlands, Cape Town",60.0
934,Ravi Bopara,22,16,0,2,26,Punjab Kings,Delhi Capitals,Delhi Capitals,field,"Newlands, Cape Town",137.5
935,Karan Goel,38,21,3,3,53,Punjab Kings,Delhi Capitals,Delhi Capitals,field,"Newlands, Cape Town",180.95
936,Yuvraj Singh,16,11,0,2,20,Punjab Kings,Delhi Capitals,Delhi Capitals,field,"Newlands, Cape Town",145.45
937,Kumar Sangakkara,8,11,1,0,9,Punjab Kings,Delhi Capitals,Delhi Capitals,field,"Newlands, Cape Town",72.73
938,Mahela Jayawardene,6,6,1,0,7,Punjab Kings,Delhi Capitals,Delhi Capitals,field,"Newlands, Cape Town",100.0
939,Irfan Pathan,6,7,0,0,6,Punjab Kings,Delhi Capitals,Delhi Capitals,field,"Newlands, Cape Town",85.71
940,Piyush Chawla,0,0,0,0,-2,Punjab Kings,Delhi Capitals,Delhi Capitals,field,"Newlands, Cape Town",
941,Taruwar Kohli,0,0,0,0,-2,Punjab Kings,Delhi Capitals,Delhi Capitals,field,"Newlands, Cape Town",
942,Gautam Gambhir,15,13,2,0,17,Delhi Capitals,Punjab Kings,Delhi Capitals,field,"Newlands, Cape Town",115.38
943,Virender Sehwag,38,16,4,3,54,Delhi Capitals,Punjab Kings,Delhi Capitals,field,"Newlands, Cape Town",237.5
944,Brendon McCullum,1,3,0,0,-5,Kolkata Knight Riders,Deccan Chargers,Kolkata Knight Riders,bat,"Newlands, Cape Town",33.33
945,Chris Gayle,10,12,1,1,13,Kolkata Knight Riders,Deccan Chargers,Kolkata Knight Riders,bat,"Newlands, Cape Town",83.33
946,Sourav Ganguly,1,12,0,0,-5,Kolkata Knight Riders,Deccan Chargers,Kolkata Knight Riders,bat,"Newlands, Cape Town",8.33
947,Brad Hodge,31,34,4,0,35,Kolkata Knight Riders,Deccan Chargers,Kolkata Knight Riders,bat,"Newlands, Cape Town",91.18
948,Aakash Chopra,11,19,2,0,13,Kolkata Knight Riders,Deccan Chargers,Kolkata Knight Riders,bat,"Newlands, Cape Town",57.89
949,Laxmi Shukla,8,6,0,1,10,Kolkata Knight Riders,Deccan Chargers,Kolkata Knight Riders,bat,"Newlands, Cape Town",133.33
950,Moises Henriques,6,8,0,0,6,Kolkata Knight Riders,Deccan Chargers,Kolkata Knight Riders,bat,"Newlands, Cape Town",75.0
951,Ajit Agarkar,7,3,0,1,15,Kolkata Knight Riders,Deccan Chargers,Kolkata Knight Riders,bat,"Newlands, Cape Town",233.33
952,Murali Kartik,10,10,0,0,10,Kolkata Knight Riders,Deccan Chargers,Kolkata Knight Riders,bat,"Newlands, Cape Town",100.0
953,Ishant Sharma,9,9,0,1,11,Kolkata Knight Riders,Deccan Chargers,Kolkata Knight Riders,bat,"Newlands, Cape Town",100.0
954,Ashok Dinda,2,2,0,0,2,Kolkata Knight Riders,Deccan Chargers,Kolkata Knight Riders,bat,"Newlands, Cape Town",100.0
955,Adam Gilchrist,13,11,2,0,15,Deccan Chargers,Kolkata Knight Riders,Kolkata Knight Riders,bat,"Newlands, Cape Town",118.18
956,Herschelle Gibbs,43,26,5,1,50,Deccan Chargers,Kolkata Knight Riders,Kolkata Knight Riders,bat,"Newlands, Cape Town",165.38
957,VVS Laxman,10,10,1,1,13,Deccan Chargers,Kolkata Knight Riders,Kolkata Knight Riders,bat,"Newlands, Cape Town",100.0
958,Rohit Sharma,36,32,3,2,43,Deccan Chargers,Kolkata Knight Riders,Kolkata Knight Riders,bat,"Newlands, Cape Town",112.5
959,Parthiv Patel,30,26,2,1,34,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,bat,"St George's Park, Port Elizabeth",115.38
960,Matthew Hayden,65,35,9,2,84,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,bat,"St George's Park, Port Elizabeth",185.71
961,Suresh Raina,28,29,1,1,31,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,bat,"St George's Park, Port Elizabeth",96.55
962,MS Dhoni,16,14,0,1,18,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,bat,"St George's Park, Port Elizabeth",114.29
963,Andrew Flintoff,22,13,2,1,26,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,bat,"St George's Park, Port Elizabeth",169.23
964,Albie Morkel,5,3,1,0,6,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,bat,"St George's Park, Port Elizabeth",166.67
965,Praveen Kumar,0,3,0,0,-2,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,bat,"St George's Park, Port Elizabeth",0.0
966,Robin Uthappa,20,19,2,0,22,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,bat,"St George's Park, Port Elizabeth",105.26
967,Jacques Kallis,24,19,5,0,29,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,bat,"St George's Park, Port Elizabeth",126.32
968,Ross Taylor,1,4,0,0,-5,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,bat,"St George's Park, Port Elizabeth",25.0
969,Kevin Pietersen,0,1,0,0,-2,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,bat,"St George's Park, Port Elizabeth",0.0
970,Rahul Dravid,20,18,2,0,22,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,bat,"St George's Park, Port Elizabeth",111.11
971,Virat Kohli,11,13,0,1,13,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,bat,"St George's Park, Port Elizabeth",84.62
972,Rajesh Bishnoi,0,1,0,0,-2,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,bat,"St George's Park, Port Elizabeth",0.0
973,Vinay Kumar,5,6,0,0,5,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,bat,"St George's Park, Port Elizabeth",83.33
974,Dale Steyn,0,3,0,0,-2,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,bat,"St George's Park, Port Elizabeth",0.0
975,Anil Kumble,1,5,0,0,-5,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,bat,"St George's Park, Port Elizabeth",20.0
976,Ravi Bopara,15,15,2,0,17,Punjab Kings,Kolkata Knight Riders,Kolkata Knight Riders,field,"Kingsmead, Durban",100.0
977,Karan Goel,0,7,0,0,-2,Punjab Kings,Kolkata Knight Riders,Kolkata Knight Riders,field,"Kingsmead, Durban",0.0
978,Irfan Pathan,32,17,5,1,45,Punjab Kings,Kolkata Knight Riders,Kolkata Knight Riders,field,"Kingsmead, Durban",188.24
979,Kumar Sangakkara,26,24,2,0,28,Punjab Kings,Kolkata Knight Riders,Kolkata Knight Riders,field,"Kingsmead, Durban",108.33
980,Yuvraj Singh,38,28,3,2,45,Punjab Kings,Kolkata Knight Riders,Kolkata Knight Riders,field,"Kingsmead, Durban",135.71
981,Mahela Jayawardene,31,19,3,1,36,Punjab Kings,Kolkata Knight Riders,Kolkata Knight Riders,field,"Kingsmead, Durban",163.16
982,Taruwar Kohli,1,4,0,0,-5,Punjab Kings,Kolkata Knight Riders,Kolkata Knight Riders,field,"Kingsmead, Durban",25.0
983,Piyush Chawla,3,6,0,0,3,Punjab Kings,Kolkata Knight Riders,Kolkata Knight Riders,field,"Kingsmead, Durban",50.0
984,Brendon McCullum,21,16,1,2,26,Kolkata Knight Riders,Punjab Kings,Kolkata Knight Riders,field,"Kingsmead, Durban",131.25
985,Chris Gayle,44,26,2,4,54,Kolkata Knight Riders,Punjab Kings,Kolkata Knight Riders,field,"Kingsmead, Durban",169.23
986,Brad Hodge,10,14,0,0,10,Kolkata Knight Riders,Punjab Kings,Kolkata Knight Riders,field,"Kingsmead, Durban",71.43
987,Adam Gilchrist,71,45,6,5,87,Deccan Chargers,Royal Challengers Bangalore,Deccan Chargers,bat,"Newlands, Cape Town",157.78
988,Herschelle Gibbs,13,7,1,1,22,Deccan Chargers,Royal Challengers Bangalore,Deccan Chargers,bat,"Newlands, Cape Town",185.71
989,VVS Laxman,5,10,0,0,5,Deccan Chargers,Royal Challengers Bangalore,Deccan Chargers,bat,"Newlands, Cape Town",50.0
990,Rohit Sharma,52,30,1,5,69,Deccan Chargers,Royal Challengers Bangalore,Deccan Chargers,bat,"Newlands, Cape Town",173.33
991,Scott Styris,14,8,0,1,22,Deccan Chargers,Royal Challengers Bangalore,Deccan Chargers,bat,"Newlands, Cape Town",175.0
992,Venugopal Rao,9,13,0,0,9,Deccan Chargers,Royal Challengers Bangalore,Deccan Chargers,bat,"Newlands, Cape Town",69.23
993,Dwaraka Ravi Teja,8,5,1,0,9,Deccan Chargers,Royal Challengers Bangalore,Deccan Chargers,bat,"Newlands, Cape Town",160.0
994,Fidel Edwards,3,2,0,0,3,Deccan Chargers,Royal Challengers Bangalore,Deccan Chargers,bat,"Newlands, Cape Town",150.0
995,Jesse Ryder,0,1,0,0,-2,Royal Challengers Bangalore,Deccan Chargers,Deccan Chargers,bat,"Newlands, Cape Town",0.0
996,Robin Uthappa,12,19,1,0,13,Royal Challengers Bangalore,Deccan Chargers,Deccan Chargers,bat,"Newlands, Cape Town",63.16
997,Jacques Kallis,15,14,3,0,18,Royal Challengers Bangalore,Deccan Chargers,Deccan Chargers,bat,"Newlands, Cape Town",107.14
998,Kevin Pietersen,11,15,1,0,12,Royal Challengers Bangalore,Deccan Chargers,Deccan Chargers,bat,"Newlands, Cape Town",73.33
999,Rahul Dravid,48,27,5,2,63,Royal Challengers Bangalore,Deccan Chargers,Deccan Chargers,bat,"Newlands, Cape Town",177.78
1000,Virat Kohli,50,32,7,0,57,Royal Challengers Bangalore,Deccan Chargers,Deccan Chargers,bat,"Newlands, Cape Town",156.25
1001,Rajesh Bishnoi,1,2,0,0,1,Royal Challengers Bangalore,Deccan Chargers,Deccan Chargers,bat,"Newlands, Cape Town",50.0
1002,Karn Sharma,1,3,0,0,-5,Royal Challengers Bangalore,Deccan Chargers,Deccan Chargers,bat,"Newlands, Cape Town",33.33
1003,Praveen Kumar,14,6,0,2,24,Royal Challengers Bangalore,Deccan Chargers,Deccan Chargers,bat,"Newlands, Cape Town",233.33
1004,Anil Kumble,1,1,0,0,1,Royal Challengers Bangalore,Deccan Chargers,Deccan Chargers,bat,"Newlands, Cape Town",100.0
1005,Gautam Gambhir,0,1,0,0,-2,Delhi Capitals,Chennai Super Kings,Delhi Capitals,bat,"Kingsmead, Durban",0.0
1006,Virender Sehwag,6,9,1,0,7,Delhi Capitals,Chennai Super Kings,Delhi Capitals,bat,"Kingsmead, Durban",66.67
1007,AB de Villiers,105,54,5,6,144,Delhi Capitals,Chennai Super Kings,Delhi Capitals,bat,"Kingsmead, Durban",194.44
1008,Tillakaratne Dilshan,50,27,7,2,67,Delhi Capitals,Chennai Super Kings,Delhi Capitals,bat,"Kingsmead, Durban",185.19
1009,Dinesh Karthik,18,16,2,0,20,Delhi Capitals,Chennai Super Kings,Delhi Capitals,bat,"Kingsmead, Durban",112.5
1010,Manoj Tiwary,9,13,1,0,10,Delhi Capitals,Chennai Super Kings,Delhi Capitals,bat,"Kingsmead, Durban",69.23
1011,Daniel Vettori,0,0,0,0,-2,Delhi Capitals,Chennai Super Kings,Delhi Capitals,bat,"Kingsmead, Durban",
1012,Parthiv Patel,16,15,2,0,18,Chennai Super Kings,Delhi Capitals,Delhi Capitals,bat,"Kingsmead, Durban",106.67
1013,Matthew Hayden,57,27,5,3,74,Chennai Super Kings,Delhi Capitals,Delhi Capitals,bat,"Kingsmead, Durban",211.11
1014,Suresh Raina,41,27,5,1,48,Chennai Super Kings,Delhi Capitals,Delhi Capitals,bat,"Kingsmead, Durban",151.85
1015,MS Dhoni,5,7,0,0,5,Chennai Super Kings,Delhi Capitals,Delhi Capitals,bat,"Kingsmead, Durban",71.43
1016,Andrew Flintoff,16,17,1,0,17,Chennai Super Kings,Delhi Capitals,Delhi Capitals,bat,"Kingsmead, Durban",94.12
1017,Albie Morkel,13,14,1,0,14,Chennai Super Kings,Delhi Capitals,Delhi Capitals,bat,"Kingsmead, Durban",92.86
1018,S Badrinath,7,8,0,0,7,Chennai Super Kings,Delhi Capitals,Delhi Capitals,bat,"Kingsmead, Durban",87.5
1019,Manpreet Gony,6,2,0,1,14,Chennai Super Kings,Delhi Capitals,Delhi Capitals,bat,"Kingsmead, Durban",300.0
1020,Joginder Sharma,4,3,0,0,4,Chennai Super Kings,Delhi Capitals,Delhi Capitals,bat,"Kingsmead, Durban",133.33
1021,Lakshmipathy Balaji,0,0,0,0,-2,Chennai Super Kings,Delhi Capitals,Delhi Capitals,bat,"Kingsmead, Durban",
1022,Muttiah Muralitharan,0,1,0,0,-2,Chennai Super Kings,Delhi Capitals,Delhi Capitals,bat,"Kingsmead, Durban",0.0
1023,Graeme Smith,15,21,1,0,16,Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,field,"Newlands, Cape Town",71.43
1024,Paul Valthaty,5,7,1,0,6,Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,field,"Newlands, Cape Town",71.43
1025,Rob Quiney,6,2,0,1,14,Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,field,"Newlands, Cape Town",300.0
1026,Yusuf Pathan,42,21,6,2,58,Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,field,"Newlands, Cape Town",200.0
1027,Ravindra Jadeja,22,26,0,0,22,Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,field,"Newlands, Cape Town",84.62
1028,Dimitri Mascarenhas,27,28,2,0,29,Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,field,"Newlands, Cape Town",96.43
1029,Abhishek Raut,21,13,1,2,26,Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,field,"Newlands, Cape Town",161.54
1030,Shane Warne,2,2,0,0,2,Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,field,"Newlands, Cape Town",100.0
1031,Chris Gayle,41,33,2,4,51,Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders,field,"Newlands, Cape Town",124.24
1032,Brendon McCullum,3,9,0,0,-3,Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders,field,"Newlands, Cape Town",33.33
1033,Laxmi Shukla,13,13,1,0,14,Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders,field,"Newlands, Cape Town",100.0
1034,Brad Hodge,5,7,0,0,5,Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders,field,"Newlands, Cape Town",71.43
1035,Sourav Ganguly,46,30,4,2,54,Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders,field,"Newlands, Cape Town",153.33
1036,Sanjay Bangar,2,9,0,0,-4,Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders,field,"Newlands, Cape Town",22.22
1037,Yashpal Singh,20,18,3,0,23,Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders,field,"Newlands, Cape Town",111.11
1038,Ajit Agarkar,1,1,0,0,1,Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders,field,"Newlands, Cape Town",100.0
1039,Ishant Sharma,1,1,0,0,1,Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders,field,"Newlands, Cape Town",100.0
1040,Jesse Ryder,32,21,6,0,38,Royal Challengers Bangalore,Punjab Kings,Royal Challengers Bangalore,bat,"Kingsmead, Durban",152.38
1041,Robin Uthappa,0,1,0,0,-2,Royal Challengers Bangalore,Punjab Kings,Royal Challengers Bangalore,bat,"Kingsmead, Durban",0.0
1042,Jacques Kallis,62,46,5,2,71,Royal Challengers Bangalore,Punjab Kings,Royal Challengers Bangalore,bat,"Kingsmead, Durban",134.78
1043,Kevin Pietersen,0,2,0,0,-2,Royal Challengers Bangalore,Punjab Kings,Royal Challengers Bangalore,bat,"Kingsmead, Durban",0.0
1044,Rahul Dravid,10,13,0,0,10,Royal Challengers Bangalore,Punjab Kings,Royal Challengers Bangalore,bat,"Kingsmead, Durban",76.92
1045,Ross Taylor,35,22,4,2,43,Royal Challengers Bangalore,Punjab Kings,Royal Challengers Bangalore,bat,"Kingsmead, Durban",159.09
1046,Virat Kohli,2,3,0,0,2,Royal Challengers Bangalore,Punjab Kings,Royal Challengers Bangalore,bat,"Kingsmead, Durban",66.67
1047,Praveen Kumar,13,7,0,1,21,Royal Challengers Bangalore,Punjab Kings,Royal Challengers Bangalore,bat,"Kingsmead, Durban",185.71
1048,Vinay Kumar,1,1,0,0,1,Royal Challengers Bangalore,Punjab Kings,Royal Challengers Bangalore,bat,"Kingsmead, Durban",100.0
1049,Pankaj Singh,0,1,0,0,-2,Royal Challengers Bangalore,Punjab Kings,Royal Challengers Bangalore,bat,"Kingsmead, Durban",0.0
1050,Anil Kumble,5,3,1,0,6,Royal Challengers Bangalore,Punjab Kings,Royal Challengers Bangalore,bat,"Kingsmead, Durban",166.67
1051,Ravi Bopara,84,59,4,5,98,Punjab Kings,Royal Challengers Bangalore,Royal Challengers Bangalore,bat,"Kingsmead, Durban",142.37
1052,Karan Goel,19,19,1,0,20,Punjab Kings,Royal Challengers Bangalore,Royal Challengers Bangalore,bat,"Kingsmead, Durban",100.0
1053,Kumar Sangakkara,26,18,2,1,30,Punjab Kings,Royal Challengers Bangalore,Royal Challengers Bangalore,bat,"Kingsmead, Durban",144.44
1054,Yuvraj Singh,30,17,3,1,41,Punjab Kings,Royal Challengers Bangalore,Royal Challengers Bangalore,bat,"Kingsmead, Durban",176.47
1055,Mahela Jayawardene,1,1,0,0,1,Punjab Kings,Royal Challengers Bangalore,Royal Challengers Bangalore,bat,"Kingsmead, Durban",100.0
1056,Adam Gilchrist,35,20,3,3,50,Deccan Chargers,Mumbai Indians,Deccan Chargers,bat,"Kingsmead, Durban",175.0
1057,Herschelle Gibbs,58,44,6,2,68,Deccan Chargers,Mumbai Indians,Deccan Chargers,bat,"Kingsmead, Durban",131.82
1058,Dwayne Smith,35,22,2,2,41,Deccan Chargers,Mumbai Indians,Deccan Chargers,bat,"Kingsmead, Durban",159.09
1059,Rohit Sharma,3,5,0,0,3,Deccan Chargers,Mumbai Indians,Deccan Chargers,bat,"Kingsmead, Durban",60.0
1060,VVS Laxman,0,1,0,0,-2,Deccan Chargers,Mumbai Indians,Deccan Chargers,bat,"Kingsmead, Durban",0.0
1061,Venugopal Rao,9,10,0,0,9,Deccan Chargers,Mumbai Indians,Deccan Chargers,bat,"Kingsmead, Durban",90.0
1062,Dwaraka Ravi Teja,9,9,1,0,10,Deccan Chargers,Mumbai Indians,Deccan Chargers,bat,"Kingsmead, Durban",100.0
1063,RP Singh,4,4,0,0,4,Deccan Chargers,Mumbai Indians,Deccan Chargers,bat,"Kingsmead, Durban",100.0
1064,Fidel Edwards,1,3,0,0,-5,Deccan Chargers,Mumbai Indians,Deccan Chargers,bat,"Kingsmead, Durban",33.33
1065,Pragyan Ojha,0,2,0,0,-2,Deccan Chargers,Mumbai Indians,Deccan Chargers,bat,"Kingsmead, Durban",0.0
1066,Sanath Jayasuriya,1,8,0,0,-5,Mumbai Indians,Deccan Chargers,Deccan Chargers,bat,"Kingsmead, Durban",12.5
1067,Sachin Tendulkar,36,27,3,2,43,Mumbai Indians,Deccan Chargers,Deccan Chargers,bat,"Kingsmead, Durban",133.33
1068,Jean Paul Duminy,47,40,4,2,55,Mumbai Indians,Deccan Chargers,Deccan Chargers,bat,"Kingsmead, Durban",117.5
1069,Shikhar Dhawan,3,7,0,0,-3,Mumbai Indians,Deccan Chargers,Deccan Chargers,bat,"Kingsmead, Durban",42.86
1070,Dwayne Bravo,21,18,2,0,23,Mumbai Indians,Deccan Chargers,Deccan Chargers,bat,"Kingsmead, Durban",116.67
1071,Abhishek Nayar,10,6,0,1,12,Mumbai Indians,Deccan Chargers,Deccan Chargers,bat,"Kingsmead, Durban",166.67
1072,Harbhajan Singh,20,8,1,2,31,Mumbai Indians,Deccan Chargers,Deccan Chargers,bat,"Kingsmead, Durban",250.0
1073,Zaheer Khan,4,6,0,0,4,Mumbai Indians,Deccan Chargers,Deccan Chargers,bat,"Kingsmead, Durban",66.67
1074,Pinal Shah,1,1,0,0,1,Mumbai Indians,Deccan Chargers,Deccan Chargers,bat,"Kingsmead, Durban",100.0
1075,Jacques Kallis,0,1,0,0,-2,Royal Challengers Bangalore,Delhi Capitals,Royal Challengers Bangalore,bat,"St George's Park, Port Elizabeth",0.0
1076,Robin Uthappa,3,4,0,0,3,Royal Challengers Bangalore,Delhi Capitals,Royal Challengers Bangalore,bat,"St George's Park, Port Elizabeth",75.0
1077,Kevin Pietersen,37,25,2,2,43,Royal Challengers Bangalore,Delhi Capitals,Royal Challengers Bangalore,bat,"St George's Park, Port Elizabeth",148.0
1078,Ross Taylor,31,34,3,0,34,Royal Challengers Bangalore,Delhi Capitals,Royal Challengers Bangalore,bat,"St George's Park, Port Elizabeth",91.18
1079,Virat Kohli,22,24,1,0,23,Royal Challengers Bangalore,Delhi Capitals,Royal Challengers Bangalore,bat,"St George's Park, Port Elizabeth",91.67
1080,Mark Boucher,36,28,2,2,42,Royal Challengers Bangalore,Delhi Capitals,Royal Challengers Bangalore,bat,"St George's Park, Port Elizabeth",128.57
1081,Balachandra Akhil,8,4,0,1,16,Royal Challengers Bangalore,Delhi Capitals,Royal Challengers Bangalore,bat,"St George's Park, Port Elizabeth",200.0
1082,Vinay Kumar,0,0,0,0,-2,Royal Challengers Bangalore,Delhi Capitals,Royal Challengers Bangalore,bat,"St George's Park, Port Elizabeth",
1083,Pankaj Singh,1,1,0,0,1,Royal Challengers Bangalore,Delhi Capitals,Royal Challengers Bangalore,bat,"St George's Park, Port Elizabeth",100.0
1084,Gautam Gambhir,16,19,1,0,17,Delhi Capitals,Royal Challengers Bangalore,Royal Challengers Bangalore,bat,"St George's Park, Port Elizabeth",84.21
1085,Virender Sehwag,7,5,0,1,9,Delhi Capitals,Royal Challengers Bangalore,Royal Challengers Bangalore,bat,"St George's Park, Port Elizabeth",140.0
1086,Tillakaratne Dilshan,67,47,5,2,76,Delhi Capitals,Royal Challengers Bangalore,Royal Challengers Bangalore,bat,"St George's Park, Port Elizabeth",142.55
1087,AB de Villiers,21,23,0,0,21,Delhi Capitals,Royal Challengers Bangalore,Royal Challengers Bangalore,bat,"St George's Park, Port Elizabeth",91.3
1088,Dinesh Karthik,12,9,1,1,15,Delhi Capitals,Royal Challengers Bangalore,Royal Challengers Bangalore,bat,"St George's Park, Port Elizabeth",133.33
1089,Mithun Manhas,23,13,3,0,32,Delhi Capitals,Royal Challengers Bangalore,Royal Challengers Bangalore,bat,"St George's Park, Port Elizabeth",176.92
1090,Ravi Bopara,11,15,2,0,13,Punjab Kings,Rajasthan Royals,Punjab Kings,bat,"Newlands, Cape Town",73.33
1091,Karan Goel,0,0,0,0,-2,Punjab Kings,Rajasthan Royals,Punjab Kings,bat,"Newlands, Cape Town",
1092,Kumar Sangakkara,60,51,7,1,69,Punjab Kings,Rajasthan Royals,Punjab Kings,bat,"Newlands, Cape Town",117.65
1093,Yuvraj Singh,2,3,0,0,2,Punjab Kings,Rajasthan Royals,Punjab Kings,bat,"Newlands, Cape Town",66.67
1094,Mahela Jayawardene,7,10,0,0,7,Punjab Kings,Rajasthan Royals,Punjab Kings,bat,"Newlands, Cape Town",70.0
